-684,112,-247,3.408695652,29.07826087,7.095652174,148,-25.5
-684,112,-247,3.408695652,31.72173913,8.626086957,148,-25.5
-692,112,-240,2.852173913,28.3826087,9.252173913,148,-18.5
-692,112,-240,2.573913043,29.84347826,7.165217391,148,-18.5
-692,112,-240,3.686956522,31.16521739,8.27826087,148,-18.5
-691,114,-242,2.92173913,31.02608696,9.739130435,150,-20.5
-691,114,-242,1.808695652,29.14782609,8.765217391,150,-20.5
-691,114,-242,2.295652174,29.77391304,8.486956522,150,-20.5
-691,114,-242,4.452173913,29.91304348,7.095652174,150,-20.5
-691,114,-242,3.895652174,31.44347826,9.669565217,150,-20.5
-691,114,-242,3.895652174,30.74782609,9.252173913,150,-20.5
-691,114,-242,5.356521739,28.17391304,9.460869565,150,-20.5
-691,114,-242,2.92173913,31.51304348,8.486956522,150,-20.5
-691,114,-242,3.130434783,30.33043478,10.29565217,150,-20.5
-691,114,-242,3.547826087,30.19130435,9.391304348,150,-20.5
-683,100,-250,4.730434783,28.66086957,8.27826087,136,-28.5
-683,100,-250,3.895652174,30.46956522,8.556521739,136,-28.5
-683,100,-250,3.060869565,28.73043478,6.469565217,136,-28.5
-683,100,-250,2.852173913,32.48695652,10.0173913,136,-28.5
-683,100,-250,2.434782609,29.14782609,10.0173913,136,-28.5
-683,100,-250,2.295652174,27.75652174,9.113043478,136,-28.5
-683,100,-250,2.365217391,30.88695652,8.208695652,136,-28.5
-683,100,-250,2.365217391,32.55652174,8.27826087,136,-28.5
-683,100,-250,4.173913043,29.84347826,8.417391304,136,-28.5
-683,100,-250,3.895652174,31.44347826,8.695652174,136,-28.5
-683,100,-250,3.617391304,29.56521739,8.765217391,136,-28.5
-683,100,-250,2.643478261,29.56521739,8.626086957,136,-28.5
-683,100,-250,4.243478261,30.4,8.904347826,136,-28.5
-691,112,-247,1.043478261,30.95652174,7.791304348,148,-25.5
-691,112,-247,0.139130435,30.74782609,8.904347826,148,-25.5
-691,112,-247,3.130434783,29.56521739,8.695652174,148,-25.5
-680,98,-253,3.547826087,29.00869565,8.139130435,134,-31.5
-680,98,-253,4.382608696,30.8173913,8.834782609,134,-31.5
-705,114,-236,2.782608696,28.8,8.486956522,150,-14.5
-705,114,-236,2.226086957,30.12173913,8.347826087,150,-14.5
-705,114,-236,4.382608696,27.96521739,10.50434783,150,-14.5
-688,110,-248,2.991304348,32.27826087,10.29565217,146,-26.5
-688,110,-248,2.086956522,29.56521739,8.765217391,146,-26.5
-688,110,-248,2.434782609,29.2173913,8.486956522,146,-26.5
-688,110,-248,3.686956522,31.5826087,8.904347826,146,-26.5
-688,110,-248,4.452173913,31.44347826,7.443478261,146,-26.5
-688,110,-248,2.504347826,30.88695652,9.530434783,146,-26.5
-688,110,-248,1.669565217,31.16521739,8,146,-26.5
-697,109,-244,2.086956522,30.4,8.139130435,145,-22.5
-697,109,-244,3.269565217,30.67826087,7.095652174,145,-22.5
-697,109,-244,1.739130435,29.28695652,9.182608696,145,-22.5
-691,116,-243,2.434782609,30.4,7.582608696,152,-21.5
-691,116,-243,2.504347826,31.16521739,8.626086957,152,-21.5
-691,116,-243,4.939130435,32.83478261,9.530434783,152,-21.5
-692,111,-248,3.408695652,29.84347826,9.113043478,147,-26.5
-692,111,-248,2.852173913,29.35652174,9.669565217,147,-26.5
-692,111,-248,3.060869565,30.67826087,9.113043478,147,-26.5
-692,111,-248,4.730434783,32.06956522,7.652173913,147,-26.5
-688,105,-244,3.060869565,30.95652174,8.556521739,141,-22.5
-688,105,-244,3.826086957,29.63478261,8.973913043,141,-22.5
-688,105,-244,1.87826087,29.70434783,10.99130435,141,-22.5
-693,120,-237,2.573913043,30.33043478,9.182608696,156,-15.5
-693,120,-237,3.547826087,31.23478261,9.460869565,156,-15.5
-693,120,-237,2.92173913,29.91304348,8.347826087,156,-15.5
-693,115,-244,5.356521739,29.56521739,8.27826087,151,-22.5
-693,115,-244,2.643478261,28.24347826,8.486956522,151,-22.5
-693,115,-244,2.156521739,30.33043478,8.695652174,151,-22.5
-693,115,-244,3.617391304,28.3826087,6.747826087,151,-22.5
-693,115,-244,3.965217391,31.72173913,8.139130435,151,-22.5
-693,115,-244,2.92173913,29.70434783,7.791304348,151,-22.5
-693,115,-244,2.226086957,30.46956522,8.556521739,151,-22.5
-683,115,-240,2.713043478,29.70434783,8.556521739,151,-18.5
-683,115,-240,2.365217391,28.03478261,9.669565217,151,-18.5
-683,115,-240,3.339130435,29.63478261,8.834782609,151,-18.5
-695,115,-241,3.130434783,29.70434783,8.834782609,151,-19.5
-695,115,-241,2.991304348,30.05217391,8.973913043,151,-19.5
-695,115,-241,1.530434783,30.88695652,8.486956522,151,-19.5
-685,104,-241,3.756521739,30.12173913,8.27826087,140,-19.5
-685,104,-241,4.660869565,30.12173913,7.443478261,140,-19.5
-685,104,-241,2.713043478,30.8173913,9.182608696,140,-19.5
-685,104,-241,1.87826087,31.37391304,8.139130435,140,-19.5
-685,104,-241,3.2,30.95652174,8.069565217,140,-19.5
-685,104,-241,3.617391304,29.2173913,7.304347826,140,-19.5
-685,104,-241,2.643478261,28.10434783,9.252173913,140,-19.5
-685,104,-241,1.391304348,30.33043478,8.834782609,140,-19.5
-685,104,-241,3.408695652,30.12173913,9.460869565,140,-19.5
-685,104,-241,4.591304348,29.42608696,6.886956522,140,-19.5
-691,114,-242,4.8,29.9826087,8.626086957,150,-20.5
-691,114,-242,3.408695652,31.44347826,7.791304348,150,-20.5
-691,114,-242,4.730434783,29.77391304,9.530434783,150,-20.5
